filename,raga
Abhogi.wav,Abhogi
Ahir Bhairav.wav,Ahir Bhairav
Bageshree.wav,Bageshree
Bahar.wav,Bahar
Bairagi.wav,Bairagi
Bhairav.wav,Bhairav
Bhairavi.wav,Bhairavi
Bhatiyar.wav,Bhatiyar
Bhimpalasi.wav,Bhimpalasi
Bhupali.wav,Bhupali
Bibhas.wav,Bibhas
Bihag.wav,Bihag
Bilaskhani Todi.wav,Bilaskhani Todi
Brindawani Malhar.wav,Brindawani Malhar
Brindawani Saarang.wav,Brindawani Saarang
Chandrakauuns.wav,Chandrakauuns
Darbari Kanada.wav,Darbari Kanada
Desh.wav,Desh
Dhani.wav,Dhani
Durga.wav,Durga
Ganapati.wav,Ganapati
Gaud Malhar.wav,Gaud Malhar
Hameer.wav,Hameer
Hamsadhwani.wav,Hamsadhwani
Jog.wav,Jog
Kalyan.wav,Kalyan
Kedar.wav,Kedar
Khamaj.wav,Khamaj
Kirwani.wav,Kirwani
Komal Bhimpalasi.wav,Komal Bhimpalasi
Lagan Gandhar.wav,Lagan Gandhar
Lalit Pancham.wav,Lalit Pancham
Lalit.wav,Lalit
Madhukauns.wav,Madhukauns
Malkauns.wav,Malkauns
Marwa.wav,Marwa
Megh.wav,Megh
Miyan Malhar.wav,Miyan Malhar
Multani.wav,Multani
Nata Bhairavi.wav,Nata Bhairavi
Patadeep.wav,Patadeep
Puriya Dhanashree.wav,Puriya Dhanashree
Puriya.wav,Puriya
Rageshri.wav,Rageshri
Ramdasi Malhar.wav,Ramdasi Malhar
Sarang Malhar.wav,Sarang Malhar
Saraswathi.wav,Saraswathi
Sawani.wav,Sawani
Shree.wav,Shree
Shuddha Bilawal.wav,Shuddha Bilawal
Shuddha Sarang.wav,Shuddha Sarang
Sindhu Bhairavi.wav,Sindhu Bhairavi
Tilak Kamod.wav,Tilak Kamod
Todi.wav,Todi
Virat Bhairav.wav,Virat Bhairav
Yaman.wav,Yaman
